# Requirement status, curated 2026-09-08 (bifrost main b07ca1b; bifrost-ui main 8670313;
# extension main 6329995). Lane numbers come from the last run of each: L2 from
# docs/requirements/traceability.json (regenerate with `make report`), kind from run
# 34228237429 on 5fd2269, grace from the in-cluster run req-1788887676 on 2026-09-08 against sha-b07ca1b
# (89 min, every package passed; the 07:00Z nightly that day aborted when a helm upgrade
# restarted the control plane mid-suite). The browser lane is bifrost-ui/e2e (Playwright) plus the grace-e2e sim lane (alice and bob
# through the JupyterLab extension, checkmaite UI and dashboard), counted separately from the Go suite. The other columns are read from the tree and from what was verified by hand;
# they do not regenerate, so date any edit.
Req,Requirement,Priority,In the source code,Where it lives,Automated tests,L2 (no cluster),kind lane,grace lane,browser lane,Proven by hand,Gap / next step
1,Deploy models from within Jupyter,CRITICAL,Built (API + reconciler),"internal/api/services.go, internal/controller/service_reconcile.go, internal/provision/kuberay.go (RayServiceFor)",4,"3 pass, 1 skip","3 pass, 1 skip","3 pass, 1 skip",no tests,Deployed a Serve app on grace; answered through the gateway with a token,Serve-endpoint test skipped on every lane (no serve-fixture capability). No deploy panel in the UI or the JupyterLab extension.
2,Groups share models privately,HIGH,Built (API + gateway authorisation),"internal/api/services.go (project scoping, enforceServicesPerProject), internal/api/gateway.go",4,"3 pass, 1 skip","3 pass, 1 skip","3 pass, 1 skip",no tests,Non-member got 403 through the gateway; anonymous 401,"Gateway-serve test skipped on L2/kind; one-service-per-project is a configured limit, not a product rule."
3,RBAC for model serving and cluster access; direct Ray Serve/dashboard/Jobs/GCS access blocked,HIGH,Built,"internal/auth/{rbac,validator,local}.go, internal/api/{authz,middleware,access}.go, internal/provision/kuberay.go (NetworkPolicy), internal/api/gateway.go",17,"13 pass, 4 skip","16 pass, 1 skip",14 pass,6 pass (dashboard),Keycloak sign-in on grace; cross-owner port probes blocked; token lifecycle; identity now names the caller's own projects and not another's,Keycloak SPA mappers still added by hand (nebari-operator gap); the browser lane now fails if either mapper is lost.
4,Serving in separate resource pool from compute clusters,CRITICAL,Built (pool purpose + serving ledger),"internal/core/pool.go (Purpose), internal/api/pools.go, internal/api/services.go (admitServing), internal/provision/kueue.go",3,"2 pass, 1 skip",3 pass,3 pass,no tests,Serving LocalQueue present; compute cluster refused serving quota,"Kueue admission of the RayService's own cluster is observed, not asserted."
5,UI runs jobs via ephemeral RayJob,CRITICAL,Built,"internal/api/rayjobs.go, internal/provision/rayjob.go, internal/controller/job_reconcile.go, internal/controller/registrar.go",7,"5 pass, 2 skip","5 pass, 2 skip",5 pass,no tests,checkmaite submitted a job through the gateway; it ran and was audited,No submit-job form in the UI or the extension.
6,Self-serve private clusters (dask-gateway UX),CRITICAL,Built,"internal/api/clusters.go, internal/api/validate.go, internal/controller/reconcile.go, internal/provision/kuberay.go",13,"9 pass, 4 skip","11 pass, 1 skip",11 pass,4 pass + sim,Create to running in ~60s; suspend/resume; idle reaping; owner-pod Ray Client,"Real notebook connectivity works on grace (extension image r5, owner label, egress). Autoscaling: the KubeRay autoscaler was blocked by the tenant egress policy (defect 2026-09-08, #36); Bifrost now writes a per-cluster autoscaler egress policy, proven by the kind lane's autoscaling shard. Grace still runs with the flag off until the fix is deployed there."
7,"Group admins control profiles, images, CPU/mem/GPU, max workers",CRITICAL,"Built (profiles, per-project image allowlist, worker caps, quotas)","internal/api/{profiles,admission,settings}.go, internal/core/profile.go, internal/policy/policy.go",9,9 pass,9 pass,"7 pass, 2 skip",no tests,Profile by name; disallowed image refused; quota 409,"No delegated group admin: only the platform admin can edit policy. GPU caps validated, never scheduled (no GPU on grace)."
8,Automatic cleanup even after gateway failure; ownership recorded; state recovered on restart,CRITICAL,Built,"internal/controller/{reconcile,store,store_sqlite,store_postgres}.go, internal/provision/kuberay.go (reap)",8,"2 pass, 6 skip","6 pass, 2 skip",6 pass,no tests,Control-plane restart kept records; out-of-band CR deletion reprovisioned; TTL reaped,"Failure drill is a pod restart only; no node-loss or database-loss drill. An undecodable cluster row no longer breaks List, and an admin can purge one."
9,Start/stop clusters from JupyterLab (extension),CRITICAL,"Built in the extension, proven live",bifrost-jupyter repo (JupyterLab extension) — not in this repo,0,no tests,no tests,no tests,"sim: 2 users, 2 clusters","Live suite drove the panel's whole lifecycle against grace: profiles, create, list, suspend, suspended, resume, running, stop (bifrost-jupyter PR 1)","Not in Go CI: the grace-e2e sim lane now drives the panel's routes as alice and bob from their own notebook pods (create, isolation, stop). The extension's own live suite still needs a Bifrost to talk to."
10,Use nebi environments on the cluster,CRITICAL,Provisioner side built; the environments are external,"internal/provision/kuberay.go (rayProbe: python probes, no wget)",1,"0 pass, 1 skip",1 pass,1 pass,no tests,checkmaite's wget-free Ray image reached running and stayed up,"nebi has not published Ray images yet, so the row cannot be proven with a real environment."
11,Pass environment variables to the cluster (JupyterLab extension),CRITICAL,Built (job runtime env; extension UI),internal/core/rayjob.go (RuntimeEnvYaml) + bifrost-jupyter env editor,0,no tests,no tests,no tests,"sim: 20 jobs, env vars",Not verified on grace,"First live evidence: the sim lane submits 10 jobs per user through the extension with env vars, and every job asserts it received them. Not yet in the Go suite (needs the in-cluster runner)."
12,Private storage (e.g. S3) from the cluster,CRITICAL,Built (catalogued Secrets projected by reference),"internal/api/storage.go, internal/core/profile.go (StorageEntry), internal/provision/kuberay.go (podTemplate), internal/api/rayjobs.go",8,"5 pass, 3 skip","7 pass, 1 skip",7 pass,no tests,A Ray job read a parquet file from aks3 through a catalogued entry,"Tenant egress is DNS-only, so a catalogued endpoint needs a hand-written policy (defect 2026-09-04). Lanes prove projection with dummy secrets. Volume sources are PVC-only: the namespace's baseline PodSecurity forbids hostPath."
13,Group capacity via shared resource pools; fair queueing; admin quotas/weights,LOW,Built for the administrator half; fair sharing is Kueue's,"internal/api/pools.go, internal/controller/pool_reconcile.go, internal/provision/kueue.go",1,1 pass,1 pass,1 pass,no tests,Pool weights and allocations through the API; LocalQueues present,No contention test: two projects actually competing has never been asserted.
14,"Usage visibility: who requested what, duration, estimated cost",LOW,Built (metering producer + owner attribution),"internal/controller/metering.go, internal/api/usage.go, internal/policy/usage.go",5,5 pass,5 pass,5 pass,no tests,checkmaite's cluster attributed to its own identity in the usage report,"No prices configured on grace, so cost reads null there."
15,Cluster health / pending-reasons without direct K8s access,LOW,"Built (events, logs, metrics, nodes, jobs)",internal/api/cluster_obs.go,2,"1 pass, 1 skip",2 pass,2 pass,no tests,Unschedulable cluster surfaced Insufficient cpu through the events operation,Nodes and metrics are API-only; the dashboard has no panel for them. Its state badge no longer reports the operator's intent as an observed state.
16,Same UX across Ray and Dask,LOW,"Not built, deferred by ruling D9",internal/core/cluster.go (Engine enum only) — no Dask provisioner,1,"0 pass, 1 pinned gap","0 pass, 1 pinned gap","0 pass, 1 pinned gap",no tests,n/a,"Scope decision: implement a dask-kubernetes provisioner behind the existing seam, or drop the row."
17,Same UX across Kubernetes and Slurm (design must not foreclose),LOW,Not built; design kept open,internal/provision/provisioner.go (the seam),1,1 pass,1 pass,no tests,no tests,n/a,Only a compile-time guard that the provisioner interface carries no Kubernetes types.
18,NIST security baseline operation + audit evidence,LOW,Partial,"internal/api/audit.go, internal/core/audit.go, internal/auth/*, Dockerfile (UBI9-micro, non-root, read-only)",6,"5 pass, 1 skip",6 pass,5 pass,no tests,Audit chain verified; no secret material in responses; container non-root and read-only,"Gateway-proxied requests carry no action or granted role in the trail (defect 2026-09-04). No FIPS build, no image scan gate, no written control mapping."
